"SUN SHEN, INC",,,,,,,,,,,,,,,
Profit and Loss by Month,,,,,,,,,,,,,,,
"January 1, 2022 - February 14, 2023",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,"Feb 1-14, 2023",Total
      Master Kim Pay,,"8,766.48  ","4,383.25  ","4,383.25  ","4,383.24  ","4,383.24  ","4,383.24  ",,"7,423.56  ","4,383.25  ","4,383.24  ","4,383.25  ","8,692.32  ",,"59,948.32  "
   Total Payroll Expenses,$	0.00  ,"$	11,806.81  ","$	10,446.48  ","$	7,423.57  ","$	7,423.57  ","$	7,423.56  ","$	7,423.56  ",$	0.00  ,"$	7,423.56  ","$	7,423.57  ","$	7,423.56  ","$	7,423.57  ","$	14,717.39  ",$	0.00  ,"$	96,359.20  "
   Promotional,,,,,,,,,,,,,,,0.00  
      Daily Practice Referral Fees,,,,,,,,,,,692.55  ,,,,692.55  
   Total Promotional,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	692.55  ,$	0.00  ,$	0.00  ,$	0.00  ,$	692.55  
   QuickBooks Payments Fees,"1,042.92  ",992.14  ,966.39  ,961.27  ,863.19  ,756.08  ,843.35  ,891.58  ,721.31  ,968.42  ,782.74  ,920.21  ,934.78  ,560.44  ,"12,204.82  "
   Rent or Lease,"3,013.14  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","2,941.40  ","6,029.88  ",,"3,014.94  ","41,471.96  "
   Repair & Maintenance,,,,,,,,,,,,,9.51  ,,9.51  
   Taxes & Licenses,,,,,,,,,,,,,,,0.00  
      Federal Taxes,,,"3,566.05  ","3,078.02  ","2,216.76  ","2,216.76  ","2,216.78  ","2,216.78  ",,"2,216.78  ","2,216.76  ","2,216.78  ","9,800.92  ","4,276.03  ","36,238.42  "
         FUTA,84.00  ,,,,,,,,,,,,,,84.00  
      Total Federal Taxes,$	84.00  ,$	0.00  ,"$	3,566.05  ","$	3,078.02  ","$	2,216.76  ","$	2,216.76  ","$	2,216.78  ","$	2,216.78  ",$	0.00  ,"$	2,216.78  ","$	2,216.76  ","$	2,216.78  ","$	9,800.92  ","$	4,276.03  ","$	36,322.42  "
      MI Business Tax,,,,,,,,,,,,,,,0.00  
         Corporate Tax,,,,25.00  ,,,,,,,,,"4,688.72  ",,"4,713.72  "
         MI UIA,,,,239.00  ,,,,,,,,680.00  ,,,919.00  
      Total MI Business Tax,$	0.00  ,$	0.00  ,$	0.00  ,$	264.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	0.00  ,$	680.00  ,"$	4,688.72  ",$	0.00  ,"$	5,632.72  "
   Total Taxes & Licenses,$	84.00  ,$	0.00  ,"$	3,566.05  ","$	3,342.02  ","$	2,216.76  ","$	2,216.76  ","$	2,216.78  ","$	2,216.78  ",$	0.00  ,"$	2,216.78  ","$	2,216.76  ","$	2,896.78  ","$	14,489.64  ","$	4,276.03  ","$	41,955.14  "
   Travel,,,,,,73.86  ,,,,,,,,,73.86  
   Utilities,107.62  ,102.57  ,107.57  ,99.88  ,88.79  ,86.14  ,74.19  ,85.27  ,101.38  ,68.51  ,71.87  ,70.57  ,87.17  ,,"1,151.53  "
Total Expenses,"$	10,872.96  ","$	19,441.16  ","$	24,435.24  ","$	31,219.95  ","$	17,092.16  ","$	18,460.96  ","$	21,261.98  ","$	12,875.43  ","$	18,455.84  ","$	16,654.19  ","$	30,990.04  ","$	27,693.53  ","$	33,054.00  ","$	10,623.31  ","$	293,130.75  "
Net Operating Income,"$	23,466.42  ","$	15,056.59  ","$	10,959.76  ","-$	1,458.29  ","$	13,871.25  ","$	7,982.55  ","$	5,568.74  ","$	18,105.59  ","$	1,404.37  ","$	9,557.77  ","$	42,564.60  ","$	2,485.13  ","-$	6,327.26  ","$	7,614.60  ","$	150,851.82  "
Other Income,,,,,,,,,,,,,,,
   Bank Dividends,,,,,,,,,,,,,,,0.00  
      Genysis Dividend,,,13.62  ,,,13.62  ,,,14.91  ,,,20.02  ,,,62.17  
   Total Bank Dividends,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	14.91  ,$	0.00  ,$	0.00  ,$	20.02  ,$	0.00  ,$	0.00  ,$	62.17  
Total Other Income,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	14.91  ,$	0.00  ,$	0.00  ,$	20.02  ,$	0.00  ,$	0.00  ,$	62.17  
Net Other Income,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	13.62  ,$	0.00  ,$	0.00  ,$	14.91  ,$	0.00  ,$	0.00  ,$	20.02  ,$	0.00  ,$	0.00  ,$	62.17  
Net Income,"$	23,466.42  ","$	15,056.59  ","$	10,973.38  ","-$	1,458.29  ","$	13,871.25  ","$	7,996.17  ","$	5,568.74  ","$	18,105.59  ","$	1,419.28  ","$	9,557.77  ","$	42,564.60  ","$	2,505.15  ","-$	6,327.26  ","$	7,614.60  ","$	150,913.99  "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Tuesday, Feb 14, 2023 03:10:05 PM GMT-8 - Accrual Basis",,,,,,,,,,,,,,,
